
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-03-29;23.939,73;3029255093175;24.625,02;2764800688394;24.589,39;3936536555570;23.920,10;71172886549;24.263,16;331495452475;23.723,02;3802857386217
2012-03-30;23.839,01;3012401689325;24.524,90;2755656961544;24.506,58;3916795939120;23.818,95;70856404287;24.169,21;329272735050;23.641,79;3775641800230
2012-03-31;23.839,01;3012401689325;24.524,90;2755656961544;24.506,58;3916795939120;23.818,95;70856404287;24.169,21;329272735050;23.641,79;3775641800230
2012-04-01;23.839,01;3012401689325;24.524,90;2755656961544;24.506,58;3916795939120;23.818,95;70856404287;24.169,21;329272735050;23.641,79;3775641800230
2012-04-02;23.877,60;3017439396611;24.554,31;2763149102161;24.537,64;3924156938564;23.868,04;72788449509;24.206,63;327216731335;23.667,60;3775929157955
2012-04-03;23.928,71;3024498250288;24.610,36;2770283433396;24.595,39;3934998088242;23.931,02;72998162549;24.264,00;330518500551;23.735,13;3787072138371
2012-04-04;23.914,39;3021980334475;24.592,76;2766371299637;24.572,40;3931174777806;23.926,20;73053747358;24.269,85;330492022052;23.707,33;3781946672903
2012-04-05;23.783,98;3001266948675;24.461,62;2740926900047;24.441,66;3903035475404;23.773,69;72265095452;24.132,13;328565133476;23.568,47;3757048420711
2012-04-06;23.783,98;3001266948675;24.461,62;2740926900047;24.441,66;3903035475404;23.773,69;72265095452;24.132,13;328565133476;23.568,47;3757048420711
2012-04-07;23.783,98;3001266948675;24.461,62;2740926900047;24.441,66;3903035475404;23.773,69;72265095452;24.132,13;328565133476;23.568,47;3757048420711
2012-04-08;23.783,98;3001266948675;24.461,62;2740926900047;24.441,66;3903035475404;23.773,69;72265095452;24.132,13;328565133476;23.568,47;3757048420711
2012-04-09;23.815,73;3005629627405;24.488,83;2744611651473;24.476,98;3909437590852;23.808,80;72245504667;24.158,34;328917464476;23.600,27;3761783601062
2012-04-10;23.754,52;2998364967091;24.434,51;2739071824904;24.425,97;3902956595341;23.753,07;73709588282;24.103,95;328255520854;23.535,08;3751959293911
2012-04-11;23.604,03;2979892568440;24.281,69;2722036978506;24.273,23;3879091992172;23.621,87;73579729283;23.962,06;326325505955;23.369,94;3726391564328
2012-04-12;23.599,45;2981595759478;24.277,90;2723896716805;24.275,60;3883689799635;23.612,15;74115087100;23.954,07;326405603562;23.373,85;3729528184261
2012-04-13;23.637,23;2992321451533;24.311,87;2731902413670;24.310,74;3897915349577;23.661,15;74911399128;23.991,52;327608132188;23.412,67;3745339062892
2012-04-14;23.637,23;2992321451533;24.311,87;2731902413670;24.310,74;3897915349577;23.661,15;74911399128;23.991,52;327608132188;23.412,67;3745339062892
2012-04-15;23.637,23;2992321451533;24.311,87;2731902413670;24.310,74;3897915349577;23.661,15;74911399128;23.991,52;327608132188;23.412,67;3745339062892
2012-04-16;23.602,35;2983337017490;24.280,16;2733603476946;24.280,48;3897240544533;23.623,54;77607525959;23.964,71;325508902385;23.377,44;3737437936669
2012-04-17;23.606,47;2987696831879;24.285,26;2735411300333;24.286,99;3902655071287;23.616,44;79052302107;23.961,63;328403030415;23.377,20;3742640740084
2012-04-18;23.646,58;2992591363250;24.324,99;2738923014778;24.336,34;3909697949347;23.655,18;79145997050;24.001,01;328955036049;23.423,93;3749393871825
2012-04-19;23.640,95;2991578832202;24.322,58;2737424582876;24.334,82;3908685478462;23.652,90;78991224835;24.006,73;328851885863;23.418,16;3747902668807
2012-04-20;23.688,82;2996603908131;24.366,69;2739121805612;24.381,59;3911463877375;23.711,14;79132506777;24.055,93;329477953404;23.462,90;3753304896092
2012-04-21;23.688,82;2996603908131;24.366,69;2739121805612;24.381,59;3911463877375;23.711,14;79132506777;24.055,93;329477953404;23.462,90;3753304896092
2012-04-22;23.688,82;2996603908131;24.366,69;2739121805612;24.381,59;3911463877375;23.711,14;79132506777;24.055,93;329477953404;23.462,90;3753304896092
2012-04-23;23.725,29;3000328334913;24.399,45;2741198354641;24.415,55;3916388769068;23.745,23;81091152134;24.083,61;329782181750;23.503,27;3758680684922
2012-04-24;23.621,17;2986475943648;24.306,90;2728713333036;24.324,03;3899557612940;23.639,05;80767541167;23.987,85;328434065767;23.411,85;3743359444313
2012-04-25;23.632,57;2987323622235;24.312,41;2729020951943;24.327,43;3899700466007;23.658,37;80870547254;24.002,84;328715807404;23.415,43;3742861360851
2012-04-26;23.672,92;2992561785354;24.351,42;2731711634673;24.365,64;3904994029707;23.686,74;80968867492;24.043,53;329286867066;23.451,77;3748466192411
2012-04-27;23.679,36;2991877564925;24.342,29;2726478149593;24.368,34;3902468412503;23.675,06;81300732532;24.051,37;329442104393;23.440,85;3746269475833
2012-04-28;23.679,36;2991877564925;24.342,29;2726478149593;24.368,34;3902468412503;23.675,06;81300732532;24.051,37;329442104393;23.440,85;3746269475833
2012-04-29;23.679,36;2991877564925;24.342,29;2726478149593;24.368,34;3902468412503;23.675,06;81300732532;24.051,37;329442104393;23.440,85;3746269475833
2012-04-30;23.738,56;2993808199192;24.402,55;2733119295243;24.429,04;3902520519758;23.725,34;81391434237;24.098,67;328952655263;23.505,15;3741942390731
2012-05-01;23.738,56;2993808199192;24.402,55;2733119295243;24.429,04;3902520519758;23.725,34;81391434237;24.098,67;328952655263;23.505,15;3741942390731
2012-05-02;23.801,92;3000036308016;24.470,43;2743435572703;24.495,30;3913027380957;23.799,04;82121009484;24.172,29;328033949193;23.568,94;3747305877665
2012-05-03;23.801,00;2999474842735;24.481,85;2742732330897;24.500,99;3912239643262;23.795,61;82161459707;24.172,22;330245443214;23.571,56;3746776870535
2012-05-04;23.674,29;2983129424920;24.344,89;2727155354729;24.363,77;3889770817176;23.668,62;81856884825;24.048,72;328583795279;23.435,18;3723711473576
2012-05-05;23.674,29;2983129424920;24.344,89;2727155354729;24.363,77;3889770817176;23.668,62;81856884825;24.048,72;328583795279;23.435,18;3723711473576
2012-05-06;23.674,29;2983129424920;24.344,89;2727155354729;24.363,77;3889770817176;23.668,62;81856884825;24.048,72;328583795279;23.435,18;3723711473576
2012-05-07;23.559,84;2968338614833;24.221,61;2712443020672;24.244,30;3869279717173;23.555,35;81514071094;23.938,64;327088620423;23.314,47;3704018639371
2012-05-08;23.535,10;2964740040084;24.207,28;2709597486017;24.235,81;3866849814999;23.538,26;81542805666;23.922,58;326943147544;23.319,65;3704088769909
2012-05-09;23.477,64;2957206641646;24.154,73;2703036846694;24.181,38;3857756438095;23.490,09;81497139311;23.876,07;326392069343;23.255,63;3693991166514
2012-05-10;23.387,30;2946322019751;24.062,44;2691788971948;24.089,56;3842456299295;23.398,60;81357533164;23.790,35;325285635480;23.174,47;3681101193376
2012-05-11;23.329,81;2940159062248;23.998,94;2684484293334;24.025,79;3832374124431;23.349,22;81556167129;23.730,89;324567517035;23.113,97;3672422369773
2012-05-12;23.329,81;2940159062248;23.998,94;2684484293334;24.025,79;3832374124431;23.349,22;81556167129;23.730,89;324567517035;23.113,97;3672422369773
2012-05-13;23.329,81;2940159062248;23.998,94;2684484293334;24.025,79;3832374124431;23.349,22;81556167129;23.730,89;324567517035;23.113,97;3672422369773
2012-05-14;23.304,72;2938149961405;23.979,46;2680791913489;24.005,86;3829482228149;23.323,80;82076370760;23.710,39;324593123668;23.089,27;3678823845867
2012-05-15;23.141,04;2918709324416;23.810,65;2668148880462;23.843,42;3810225166631;23.145,93;84209975952;23.551,89;320572096283;22.928,33;3649826993469
