
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-06-04;23.939,72;6115955674646;27.433,75;5288343157396;26.702,75;7344493470164;26.768,97;51410628292;49.338,94;943920692486;23.763,29;9193736867484
2012-06-05;23.771,72;6068887683657;27.264,10;5248117114978;26.528,92;7291108269904;26.619,28;50918856268;49.035,81;938003796305;23.600,89;9128835677261
2012-06-06;23.764,09;6064231483423;27.246,54;5237933843662;26.499,88;7278588899483;26.604,86;50589794878;49.005,11;937420225736;23.583,49;9121876258846
2012-06-07;23.821,66;6075682807389;27.327,17;5244721871255;26.587,27;7296223761651;26.700,76;50867961215;49.169,36;940602927189;23.660,11;9148458131900
2012-06-08;23.797,44;6066400988839;27.309,15;5234428548194;26.564,60;7282593511230;26.715,46;50591008318;49.155,28;940463205327;23.641,68;9136684429390
2012-06-09;23.797,44;6066400988839;27.309,15;5234428548194;26.564,60;7282593511230;26.715,46;50591008318;49.155,28;940463205327;23.641,68;9136684429390
2012-06-10;23.797,44;6066400988839;27.309,15;5234428548194;26.564,60;7282593511230;26.715,46;50591008318;49.155,28;940463205327;23.641,68;9136684429390
2012-06-11;23.854,39;6079177367259;27.370,34;5238373720301;26.621,44;7295175947773;26.747,77;50635961253;49.234,74;942145722141;23.695,16;9156716063615
2012-06-12;23.825,49;6069504360336;27.325,82;5218250664482;26.594,22;7277735294370;26.723,61;50741132893;49.224,08;942051351493;23.664,24;9143177373033
2012-06-13;23.857,11;6076722328420;27.369,84;5219962850164;26.624,75;7283008313962;26.770,50;51233387889;49.271,00;943015401133;23.705,42;9161350808855
2012-06-14;23.812,79;6068505947252;27.311,51;5208396164723;26.571,69;7275959641719;26.711,53;52385344816;49.178,38;942100774131;23.655,33;9154032009164
2012-06-15;23.796,64;6060860086404;27.310,55;5213852195143;26.563,52;7279161899682;26.711,56;54601942639;49.162,55;939416705133;23.652,05;9153404555237
2012-06-16;23.796,64;6060860086404;27.310,55;5213852195143;26.563,52;7279161899682;26.711,56;54601942639;49.162,55;939416705133;23.652,05;9153404555237
2012-06-17;23.796,64;6060860086404;27.310,55;5213852195143;26.563,52;7279161899682;26.711,56;54601942639;49.162,55;939416705133;23.652,05;9153404555237
2012-06-18;23.858,54;6074687501269;27.371,83;5221151587458;26.637,70;7296767711272;26.798,65;54790072204;49.291,91;941728095535;23.718,30;9177620068842
2012-06-19;23.923,41;6089379009097;27.447,15;5231792548473;26.708,29;7313099813314;26.862,33;54264912916;49.411,66;946759978404;23.780,63;9201401886723
2012-06-20;23.949,59;6094218572951;27.471,74;5232138228859;26.735,83;7320103293190;26.910,02;54347932797;49.456,50;947486059141;23.807,23;9210725855071
2012-06-21;23.994,47;6103750471351;27.520,72;5239780874120;26.787,18;7329771955786;26.960,45;54251287916;49.553,32;949299101545;23.850,22;9226463983122
