
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-03-24;25.749,15;3312529642236;26.704,51;3566805764076;27.023,58;3417040536471;26.697,97;32829185051;25.578,72;281393941271;26.844,23;3458557673115
2012-03-25;25.749,15;3312529642236;26.704,51;3566805764076;27.023,58;3417040536471;26.697,97;32829185051;25.578,72;281393941271;26.844,23;3458557673115
2012-03-26;25.838,66;3326062830364;26.792,47;3583428302528;27.124,66;3433187213524;26.795,42;33029348767;25.653,92;282241339325;26.940,44;3473471234701
2012-03-27;25.949,47;3343494515967;26.905,21;3601809475567;27.236,43;3450622958770;26.924,33;33261516311;25.765,70;283482771570;27.072,59;3491495415753
2012-03-28;26.047,19;3358062443359;26.999,60;3616383709324;27.319,26;3462838374471;27.015,88;33381105773;25.866,23;284665563012;27.163,44;3503870697074
2012-03-29;25.939,18;3346588433333;26.898,70;3604414493818;27.218,49;3451140978828;26.895,13;33242599493;25.769,15;283636565087;27.057,36;3490999750707
2012-03-30;25.792,09;3322552085343;26.750,59;3580494517745;27.082,25;3427892338411;26.752,75;33076084738;25.630,54;281666770085;26.921,77;3468416283271
2012-03-31;25.792,09;3322552085343;26.750,59;3580494517745;27.082,25;3427892338411;26.752,75;33076084738;25.630,54;281666770085;26.921,77;3468416283271
2012-04-01;25.792,09;3322552085343;26.750,59;3580494517745;27.082,25;3427892338411;26.752,75;33076084738;25.630,54;281666770085;26.921,77;3468416283271
2012-04-02;25.854,97;3329375635714;26.806,80;3597693806550;27.139,82;3440324601970;26.835,87;35165158255;25.691,62;278281908360;26.971,99;3466056497402
2012-04-03;25.932,25;3341002298782;26.883,89;3610657933145;27.221,46;3451581043518;26.933,35;35497069322;25.770,90;283411318327;27.059,67;3477837790764
