
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-03-23;26.021,77;1126823060159;27.474,57;1526983366398;24.595,67;1481199635119;27.964,84;25085817122;43.481,68;98786518821;25.207,29;1045200977310
2012-03-24;26.021,77;1126823060159;27.474,57;1526983366398;24.595,67;1481199635119;27.964,84;25085817122;43.481,68;98786518821;25.207,29;1045200977310
2012-03-25;26.021,77;1126823060159;27.474,57;1526983366398;24.595,67;1481199635119;27.964,84;25085817122;43.481,68;98786518821;25.207,29;1045200977310
2012-03-26;26.004,41;1123053464383;27.457,58;1519191655521;24.586,77;1472947315750;27.966,95;25163069766;43.468,57;98671309230;25.194,21;1040921610328
2012-03-27;25.989,20;1116742203472;27.446,28;1512831005841;24.563,53;1464380142123;27.952,96;25115841788;43.437,80;98524857540;25.189,18;1038317841453
2012-03-28;25.990,46;1114376994091;27.433,70;1508262744435;24.554,20;1459702791910;27.956,72;25115115607;43.425,10;98448369002;25.174,32;1036651493963
2012-03-29;25.982,65;1108220958455;27.428,03;1505687345155;24.553,34;1455762650565;27.956,90;25100659328;43.419,82;98403771190;25.169,27;1036757018914
2012-03-30;25.972,51;1104517671161;27.428,38;1502798116736;24.556,41;1453325219271;27.919,32;25069683469;43.411,23;98303327742;25.185,00;1036443443812
2012-03-31;25.972,51;1104517671161;27.428,38;1502798116736;24.556,41;1453325219271;27.919,32;25069683469;43.411,23;98303327742;25.185,00;1036443443812
2012-04-01;25.972,51;1104517671161;27.428,38;1502798116736;24.556,41;1453325219271;27.919,32;25069683469;43.411,23;98303327742;25.185,00;1036443443812
2012-04-02;25.946,04;1094580379436;27.398,85;1497217828722;24.523,52;1447406177728;27.912,95;26369013076;43.353,07;97366539782;25.138,68;1032182401099
2012-04-03;25.980,09;1093982660204;27.426,95;1493334911600;24.554,52;1444440327002;27.930,41;27720311286;43.404,55;97959709175;25.179,94;1032018631070
2012-04-04;25.980,61;1097288264933;27.430,13;1500566201819;24.568,23;1451803543922;27.933,03;28034232701;43.425,77;98060606491;25.190,83;1034740873665
2012-04-05;25.984,62;1116993439301;27.438,12;1549564029314;24.561,86;1488596680316;27.933,65;29291408256;43.424,42;98180069178;25.188,90;1051584092582
2012-04-06;25.984,62;1116993439301;27.438,12;1549564029314;24.561,86;1488596680316;27.933,65;29291408256;43.424,42;98180069178;25.188,90;1051584092582
2012-04-07;25.984,62;1116993439301;27.438,12;1549564029314;24.561,86;1488596680316;27.933,65;29291408256;43.424,42;98180069178;25.188,90;1051584092582
2012-04-08;25.984,62;1116993439301;27.438,12;1549564029314;24.561,86;1488596680316;27.933,65;29291408256;43.424,42;98180069178;25.188,90;1051584092582
2012-04-09;26.011,89;1119180719546;27.476,86;1553098593111;24.610,20;1491561061358;27.960,91;29745279529;43.500,55;98034651271;25.224,37;1057517897888
2012-04-10;26.019,44;1117674658295;27.492,92;1551554716818;24.621,57;1487749120870;27.967,88;29891026123;43.526,03;98134308348;25.240,71;1057757592793
2012-04-11;26.025,95;1116304273053;27.505,59;1545036841369;24.633,83;1487744403091;27.976,44;30103831173;43.549,56;98169770279;25.246,30;1058620038539
2012-04-12;26.028,56;1115367730521;27.498,85;1542600869725;24.628,07;1484137182246;27.976,46;30191020905;43.535,16;98135527470;25.239,06;1058661993757
2012-04-13;26.048,00;1116787613591;27.518,64;1548338766057;24.644,57;1485390015897;27.981,69;30337442220;43.555,86;97994669894;25.255,99;1061934775676
2012-04-14;26.048,00;1116787613591;27.518,64;1548338766057;24.644,57;1485390015897;27.981,69;30337442220;43.555,86;97994669894;25.255,99;1061934775676
2012-04-15;26.048,00;1116787613591;27.518,64;1548338766057;24.644,57;1485390015897;27.981,69;30337442220;43.555,86;97994669894;25.255,99;1061934775676
2012-04-16;26.083,30;1119659111312;27.560,37;1563462642936;24.688,20;1499768925570;28.013,92;31208231034;43.622,63;97005375423;25.295,74;1067835751436
2012-04-17;26.099,53;1125233710887;27.574,42;1573810571138;24.705,72;1510642672596;28.032,55;31538428132;43.658,12;98132979423;25.310,92;1074605128429
2012-04-18;26.098,09;1126343027584;27.573,14;1575848866634;24.704,49;1513539606926;28.026,67;30958739969;43.657,75;97492013254;25.309,12;1076509601212
2012-04-19;26.103,01;1126457523686;27.584,90;1582063802893;24.722,94;1517989704251;28.034,73;31751274157;43.677,26;97883930718;25.321,23;1079062968913
2012-04-20;26.111,04;1131555747846;27.593,18;1595136347276;24.728,66;1534343365504;28.045,90;31887410904;43.693,02;98138659597;25.328,45;1087220558607
2012-04-21;26.111,04;1131555747846;27.593,18;1595136347276;24.728,66;1534343365504;28.045,90;31887410904;43.693,02;98138659597;25.328,45;1087220558607
2012-04-22;26.111,04;1131555747846;27.593,18;1595136347276;24.728,66;1534343365504;28.045,90;31887410904;43.693,02;98138659597;25.328,45;1087220558607
2012-04-23;26.119,42;1132845737039;27.598,54;1600315754037;24.728,74;1537026505533;28.057,20;31948682692;43.697,55;98175765172;25.333,72;1090910948199
2012-04-24;26.140,00;1134877142377;27.621,50;1609039904025;24.751,68;1540873675458;28.071,07;32041389726;43.731,10;98308586685;25.358,63;1095348623260
2012-04-25;26.140,75;1137303072403;27.619,95;1609932382411;24.738,50;1545535698344;28.070,98;32045038748;43.723,60;98326451903;25.357,44;1098535943161
2012-04-26;26.136,29;1135940007610;27.611,56;1609810087629;24.735,15;1546221712141;28.066,89;31978515351;43.720,43;98372259438;25.352,58;1099814467473
2012-04-27;26.139,86;1140355035270;27.615,79;1624321546813;24.741,25;1556100118287;28.072,13;32046758011;43.728,42;98396394541;25.347,71;1106082193227
2012-04-28;26.139,86;1140355035270;27.615,79;1624321546813;24.741,25;1556100118287;28.072,13;32046758011;43.728,42;98396394541;25.347,71;1106082193227
2012-04-29;26.139,86;1140355035270;27.615,79;1624321546813;24.741,25;1556100118287;28.072,13;32046758011;43.728,42;98396394541;25.347,71;1106082193227
2012-04-30;26.154,87;1143044614195;27.634,00;1631348495791;24.755,66;1562160394038;28.093,77;32052774335;43.753,00;98593393109;25.360,64;1109848987689
2012-05-01;26.154,87;1143044614195;27.634,00;1631348495791;24.755,66;1562160394038;28.093,77;32052774335;43.753,00;98593393109;25.360,64;1109848987689
2012-05-02;26.163,88;1142496364635;27.644,04;1636033966224;24.768,56;1567894783053;28.106,51;33007228613;43.775,00;97523303961;25.371,71;1108813647639
2012-05-03;26.182,75;1143866727645;27.669,19;1642599437372;24.792,34;1570716466950;28.126,68;34518846809;43.807,57;98366458628;25.388,58;1111101326149
2012-05-04;26.181,86;1144085699586;27.659,00;1643654946169;24.780,82;1571320674701;28.119,43;34504104633;43.794,66;98391810307;25.378,84;1110844206607
2012-05-05;26.181,86;1144085699586;27.659,00;1643654946169;24.780,82;1571320674701;28.119,43;34504104633;43.794,66;98391810307;25.378,84;1110844206607
2012-05-06;26.181,86;1144085699586;27.659,00;1643654946169;24.780,82;1571320674701;28.119,43;34504104633;43.794,66;98391810307;25.378,84;1110844206607
2012-05-07;26.208,17;1146002502142;27.685,50;1643486905136;24.805,54;1574368442243;28.145,25;34622521730;43.832,62;98512094862;25.406,08;1113122615458
2012-05-08;26.226,40;1146632782731;27.698,44;1644376611693;24.818,71;1576249925063;28.150,46;34693759825;43.855,56;98454945967;25.430,42;1116205387911
2012-05-09;26.241,68;1147337081353;27.717,54;1646866571216;24.842,29;1580214040930;28.170,17;34726091421;43.887,73;98676059416;25.451,66;1116099136880
2012-05-10;26.241,91;1148609103462;27.717,91;1647971594195;24.852,83;1583869412858;28.170,96;34689448162;43.899,44;98765918887;25.464,24;1117422980323
2012-05-11;26.233,89;1149340680304;27.712,16;1649137446641;24.840,72;1583708670805;28.167,23;34707387413;43.887,68;98487494976;25.457,51;1118896579294
2012-05-12;26.233,89;1149340680304;27.712,16;1649137446641;24.840,72;1583708670805;28.167,23;34707387413;43.887,68;98487494976;25.457,51;1118896579294
