
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-06-06;20.963,24;2434664653219;21.720,67;1891716611498;21.801,60;2463536579833;21.123,54;43725590815;20.608,29;424097585410;20.634,04;3555052462543
2012-06-07;20.953,51;2434553848787;21.715,10;1891326078424;21.805,31;2465900973215;21.136,36;43821428023;20.614,09;424201714079;20.637,80;3555905175963
2012-06-08;20.938,37;2433359542043;21.701,85;1890720269269;21.788,44;2463454650015;21.142,98;43880766711;20.602,07;423836107256;20.627,55;3540432716105
2012-06-09;20.938,37;2433359542043;21.701,85;1890720269269;21.788,44;2463454650015;21.142,98;43880766711;20.602,07;423836107256;20.627,55;3540432716105
2012-06-10;20.938,37;2433359542043;21.701,85;1890720269269;21.788,44;2463454650015;21.142,98;43880766711;20.602,07;423836107256;20.627,55;3540432716105
2012-06-11;20.968,49;2436414514199;21.733,90;1891531010224;21.820,66;2466366313996;21.159,80;43931826283;20.624,99;424386946969;20.659,82;3542958008853
2012-06-12;20.948,81;2435324992063;21.708,62;1889621811498;21.803,05;2457637376661;21.156,13;44028582359;20.620,58;424441831986;20.636,66;3537395829980
2012-06-13;20.970,63;2431217623405;21.727,41;1889360084671;21.821,60;2460792810632;21.174,40;44148168592;20.632,94;422945722228;20.661,85;3540704757617
2012-06-14;20.948,87;2430959266759;21.698,79;1887973976010;21.793,76;2459673041128;21.151,41;44313137532;20.605,90;422385436823;20.634,80;3537698559798
2012-06-15;20.922,93;2427659514356;21.687,37;1889165388245;21.787,55;2462733625332;21.132,00;43903971107;20.595,34;421980662243;20.626,67;3535351233241
2012-06-16;20.922,93;2427659514356;21.687,37;1889165388245;21.787,55;2462733625332;21.132,00;43903971107;20.595,34;421980662243;20.626,67;3535351233241
2012-06-17;20.922,93;2427659514356;21.687,37;1889165388245;21.787,55;2462733625332;21.132,00;43903971107;20.595,34;421980662243;20.626,67;3535351233241
2012-06-18;20.943,58;2429770353363;21.702,11;1891514790378;21.811,04;2465492878484;21.160,36;43938775433;20.615,15;422322152914;20.651,25;3539893227213
2012-06-19;20.975,63;2434001656413;21.735,37;1894432112039;21.843,81;2469104274685;21.189,19;44583111163;20.646,67;423571972702;20.684,50;3545744874292
2012-06-20;20.979,62;2435072544190;21.733,17;1895957452071;21.847,96;2470700914556;21.199,27;44634167221;20.643,67;423509087175;20.691,95;3546029844314
2012-06-21;21.005,90;2439447457850;21.755,79;1896941556294;21.874,06;2472647504271;21.221,23;44690947302;20.674,45;424271505900;20.715,81;3550979336598
